date,leader,role,approve,disapprove,undecided,net,printings,agreeing,disputed,date_basis,label,first_issue,issues
1974-03-15,whitlam,pm,46,38,16,8,5,5,0,month,"March",1974-04-20,nla.obj-1336594625 nla.obj-1336595172 nla.obj-1336595692 nla.obj-1336596040 nla.obj-1336596562
1974-04-15,snedden,opposition,30,51,19,-21,3,2,0,month,"April",1974-04-27,nla.obj-1336595172 nla.obj-1340002650 nla.obj-1340002870
1974-04-15,whitlam,pm,51,39,10,12,3,2,0,month,"April",1974-04-27,nla.obj-1336595172 nla.obj-1340002650 nla.obj-1340002835
1974-05-07,snedden,opposition,33,49,18,-16,2,2,0,early,"Early May",1974-07-06,nla.obj-1340002650 nla.obj-1340002870
1974-05-07,whitlam,pm,53,36,11,17,2,2,0,early,"Early May",1974-07-06,nla.obj-1340002650 nla.obj-1340002835
1974-05-15,hawke,other,52,29,19,23,1,1,0,month,"May",1974-05-18,nla.obj-1336596562
1974-05-24,snedden,opposition,42,41,17,1,1,1,0,late,"Late May",1974-08-31,nla.obj-1340002870
1974-05-24,whitlam,pm,58,29,13,29,1,1,0,late,"Late May",1974-08-17,nla.obj-1340002835
1974-06-15,snedden,opposition,37,43,20,-6,1,1,0,month,"June",1974-08-31,nla.obj-1340002870
1974-06-15,whitlam,pm,50,34,16,16,1,1,0,month,"June",1974-08-17,nla.obj-1340002835
