Division,State,Party,Coalition_2PP_percent,Labor_2PP_percent,Swing,Year,Labor_2PP_minus_Coalition_2PP,New_swing
Newcastle,NSW,ALP,34.09,65.91,-6.82,2007,15.91,6.82
North Sydney,NSW,LP,55.38,44.62,-4.66,2007,-5.38,4.66
O'Connor,WA,LP,66.55,33.45,-3.84,2007,-16.55,3.84
Oxley,QLD,ALP,35.87,64.13,-7.01,2007,14.13,7.01
Page,NSW,ALP,47.64,52.36,-7.83,2007,2.36,7.83
Parkes,NSW,NP,63.04,36.96,-4.52,2007,-13.04,4.52
Parramatta,NSW,ALP,43.12,56.88,-7.71,2007,6.88,7.71
Paterson,NSW,LP,51.51,48.49,-4.81,2007,-1.51,4.81
Pearce,WA,LP,59.07,40.93,-3.87,2007,-9.07,3.87
Perth,WA,ALP,41.15,58.85,-2.12,2007,8.85,2.12
Petrie,QLD,ALP,47.95,52.05,-9.5,2007,2.05,9.5
Port Adelaide,SA,ALP,30.25,69.75,-6.84,2007,19.75,6.84
Prospect,NSW,ALP,36.54,63.46,-7.06,2007,13.46,7.06
Rankin,QLD,ALP,38.26,61.74,-8.76,2007,11.74,8.76
Reid,NSW,ALP,33.2,66.8,-4.72,2007,16.8,4.72
Richmond,NSW,ALP,41.13,58.87,-7.43,2007,8.87,7.43
Riverina,NSW,NP,66.23,33.77,-4.62,2007,-16.23,4.62
Robertson,NSW,ALP,49.89,50.11,-6.98,2007,0.11,6.98
Ryan,QLD,LP,53.82,46.18,-6.6,2007,-3.82,6.6
Scullin,VIC,ALP,29.15,70.85,-6.06,2007,20.85,6.06
Shortland,NSW,ALP,35.26,64.74,-5.5,2007,14.74,5.5
Solomon,NT,ALP,49.81,50.19,-3,2007,0.19,3
Stirling,WA,LP,51.29,48.71,-0.75,2007,-1.29,0.75
Sturt,SA,LP,50.94,49.06,-5.86,2007,-0.94,5.86
Swan,WA,LP,50.11,49.89,0.19,2007,-0.11,-0.19
Sydney,NSW,ALP,30.5,69.5,-2.12,2007,19.5,2.12
Tangney,WA,LP,58.68,41.32,-3.07,2007,-8.68,3.07
Throsby,NSW,ALP,26.54,73.46,-9.64,2007,23.46,9.64
Spence (fmr Wakefield),SA,ALP,43.41,56.59,-7.26,2007,6.59,7.26
Wannon,VIC,LP,57.47,42.53,-4.9,2007,-7.47,4.9
Warringah,NSW,LP,59.5,40.5,-1.79,2007,-9.5,1.79
Watson,NSW,ALP,29.67,70.33,-5.77,2007,20.33,5.77
Wentworth,NSW,LP,53.85,46.15,1.34,2007,-3.85,-1.34
Werriwa,NSW,ALP,34.76,65.24,-8.3,2007,15.24,8.3
Wide Bay,QLD,NP,58.47,41.53,-3.74,2007,-8.47,3.74
Wills,VIC,ALP,27.59,72.41,-5.51,2007,22.41,5.51
Adelaide,SA,ALP,42.31,57.69,-0.84,2010,7.69,-0.84
Aston,VIC,LP,51.76,48.24,3.29,2010,-1.76,3.29
Ballarat,VIC,ALP,38.3,61.7,3.55,2010,11.7,3.55
Banks,NSW,ALP,48.55,51.45,-8.92,2010,1.45,-8.92
Barker,SA,LP,62.88,37.12,-3.43,2010,-12.88,-3.43
Barton,NSW,ALP,43.14,56.86,-8.08,2010,6.86,-8.08
Bass,TAS,ALP,43.26,56.74,5.71,2010,6.74,5.71
Cooper (fmr Batman),VIC,ALP,25.09,74.91,-1.04,2010,24.91,-1.04
Bendigo,VIC,ALP,40.47,59.53,3.4,2010,9.53,3.4
Bennelong,NSW,LP,53.12,46.88,-4.52,2010,-3.12,-4.52
Berowra,NSW,LP,66.2,33.8,-6.19,2010,-16.2,-6.19
Blair,QLD,ALP,45.76,54.24,-2.74,2010,4.24,-2.74
Blaxland,NSW,ALP,37.77,62.23,-4.42,2010,12.23,-4.42
Bonner,QLD,LNQ,52.82,47.18,-7.35,2010,-2.82,-7.35
Boothby,SA,LP,50.75,49.25,2.18,2010,-0.75,2.18
Bowman,QLD,LNQ,60.39,39.61,-10.39,2010,-10.39,-10.39
Braddon,TAS,ALP,42.52,57.48,5.16,2010,7.48,5.16
Bradfield,NSW,LP,68.18,31.82,-4.32,2010,-18.18,-4.32
Brand,WA,ALP,46.67,53.33,-2.65,2010,3.33,-2.65
Brisbane,QLD,LNQ,51.13,48.87,-5.73,2010,-1.13,-5.73
Bruce,VIC,ALP,41.88,58.12,-0.2,2010,8.12,-0.2
